profit = 13755800

x [*,*]
:       1       2            3            4       5      6          7       8 :=
SH462   0     0            0            0         0     0        181.706    0
SH463   0     0            0            0         0     0          0        0
SH464   0     0          403.218        0         0     0          0        0
SH465   0   270.282        0            0         0     0          0        0
SH466   0     0          440.857        0         0     0          0        0
SH467   0     0            0          126.223     0     0          0        0
SH468   0     0            0          141.204     0     0          0        0
SH469   0     0            0            0         0     0          0        0
SH470   0     0            0            0         0   379.233      0        0
SH471   0     0          394.489        0         0     0          0        0
SH472   0     0            0            0         0   292.349      0        0
SH473   0     0            0            0         0     0        194.343    0
SH474   0     0          281.762        0         0     0          0        0
SH475   0     0            0            0         0     0          0        0
SH476   0   416.857        0            0         0     0          0        0
SH477   0     0            0          422.571     0     0          0        0
SH478   0     0          354.294        0         0     0          0        0
SH479   0     0          488.286        0         0     0          0        0
SH480   0     0            0            0         0     0          0        0
SH481   0     0            0            0         0     0          0        0
SH482   0     0            0          112.234     0     0          0        0
SH483   0     0          434.571        0         0     0          0        0
SH484   0     0            0            0         0     0          0        0
SH485   0     0            0            0         0     0          0        0
SH486   0     0            0            0         0     0          0        0
SH487   0     0            0           83.1042    0     0          0        0
SH488   0     0            0            0         0     0          0        0
SH489   0     0            0          441.429     0     0          0        0
SH490   0     0            0            0         0     0        537.143    0
SH491   0     0          183.511        0         0     0          0        0
SH492   0     0            0           39.3634    0     0          0        0
SH493   0     0            0            0         0     0          0        0
SH494   0    64.9048       0            0         0     0          0        0
SH495   0   136.333        0            0         0     0          0        0
SH496   0     0            0            0         0     0          0        0
SH497   0     0            0            0         0   450.286      0        0
SH498   0   239.48         0            0         0     0          0        0
SH499   0     0            0          104.378     0     0          0        0
SH500   0     0            0            0         0     0        425.429    0
SH501   0     0            0            0         0     0        420.571    0
SH502   0     0            0            0         0     0          0        0
SH503   0     0            0            0         0     0          0        0
SH504   0     0            0            0         0     0          0        0
SH505   0     0            0            0         0     0          0        0
SH506   0     0            0            0         0     0          0        0
SH507   0     0           98.867        0         0     0          0        0
SH508   0     0            0          415.95      0     0          0        0
SH509   0     0            0            0         0     0          0        0
SH510   0     0            0            0         0     0          0        0
SH511   0   398            0            0         0     0          0        0
SH512   0     0            0           30.4036    0     0          0        0
SH513   0     0            0          327.342     0     0          0        0
SH514   0     0          396.857        0         0     0          0        0
SH515   0     0            0            0         0     0          0        0
SH516   0   425.143        0            0         0     0          0        0
SH517   0     0            0            0         0     0          0        0
SH518   0     0            0            0         0     0          0        0
SH519   0     0            0            0         0     0          0        0
SH520   0     0            0          123.142     0     0          0        0
SH521   0   231.57         0            0         0     0          0        0
SH522   0    54.1516       0            0         0     0          0        0
SH523   0   134.922        0            0         0     0          0        0
SH524   0     0            0            0         0     0         96.5308   0
SH525   0     0            0          152.446     0     0          0        0
SH526   0     0            0            0         0     0          0        0
SH527   0     0            0          258.751     0     0          0        0
SH528   0     0            0            0         0     0          0        0
SH529   0     0            0            0         0     0          0        0
SH530   0     0            0            0         0     0          0        0
SH531   0     0            0            0         0     0          0        0
SH532   0     0            0            0         0   475.429      0        0
SH533   0     0            0            0         0     0          0        0
SH534   0   406.286        0            0         0     0          0        0
SH535   0     0            0          440.571     0     0          0        0
SH536   0     0            0           31.9008    0     0          0        0
SH537   0   280.044        0            0         0     0          0        0
SH538   0     0            0            0         0     0          0        0
SH539   0     0            0            0         0     0          0        0
SH540   0   170.324        0            0         0     0          0        0
SH541   0     0            3.88484      0         0     0          0        0
SH542   0     0            0            0         0     0          0        0
SH543   0     0            0            0         0     0        332.093    0
SH544   0     0            0            0         0     0          0        0
SH545   0     0            0            0         0     0          0        0
SH546   0   275.725        0            0         0     0          0        0
SH547   0     0            0            0         0     0          0        0
SH548   0     0            0            0         0     0          0        0
SH549   0     0            0            0         0     0         61.0804   0
SH550   0     0            0            0         0     0          0        0
SH551   0     0            0            0         0     0          0        0
SH552   0     0            0          181.33      0     0          0        0
SH553   0     0            0            0         0     0          0        0
SH554   0     0            0            0         0     0          0        0
SH555   0     0            0            0         0     0          0        0
SH556   0   423.143        0            0         0     0          0        0
SH557   0     0            0            0         0   470.286      0        0
;

y [*] :=
1  0
2  1
3  1
4  1
5  0
6  1
7  1
8  0
;

x.rc [*,*]
:          1          2          3          4          5          6        :=
SH001    93.0797    93.0797    93.0797    93.0797    93.0797    93.0797
SH002   194.975    194.975    194.975    194.975    194.975    194.975
SH003   153.598    153.598    153.598    153.598    153.598    153.598
SH004   158.455    158.455    158.455    158.455    158.455    158.455
SH005   155.68     155.68     155.68     155.68     155.68     155.68
SH006   206.219    206.219    206.219    206.219    206.219    206.219
SH007   152.157    152.157    152.157    152.157    152.157    152.157
SH008   169.113    169.113    169.113    169.113    169.113    169.113
SH009   232.765    232.765    232.765    232.765    232.765    232.765
SH010   162.459    162.459    162.459    162.459    162.459    162.459
SH011   144.823    144.823    144.823    144.823    144.823    144.823
SH012   113.5      113.5      113.5      113.5      113.5      113.5
SH013   209.372    209.372    209.372    209.372    209.372    209.372
SH014   111.803    111.803    111.803    111.803    111.803    111.803
SH015   237.433    237.433    237.433    237.433    237.433    237.433
SH016    98.1176    98.1176    98.1176    98.1176    98.1176    98.1176
SH017   227.312    227.312    227.312    227.312    227.312    227.312
SH018   183.827    183.827    183.827    183.827    183.827    183.827
SH019   154.706    154.706    154.706    154.706    154.706    154.706
SH020   165.178    165.178    165.178    165.178    165.178    165.178
SH021   174.946    174.946    174.946    174.946    174.946    174.946
SH022   208.452    208.452    208.452    208.452    208.452    208.452
SH023   153.192    153.192    153.192    153.192    153.192    153.192
SH024   209.692    209.692    209.692    209.692    209.692    209.692
SH025   146.651    146.651    146.651    146.651    146.651    146.651
SH026   187.165    187.165    187.165    187.165    187.165    187.165
SH027   213.686    213.686    213.686    213.686    213.686    213.686
SH028   181.747    181.747    181.747    181.747    181.747    181.747
SH029   238.338    238.338    238.338    238.338    238.338    238.338
SH030   137.944    137.944    137.944    137.944    137.944    137.944
SH031   186.255    186.255    186.255    186.255    186.255    186.255
SH032   126.8      126.8      126.8      126.8      126.8      126.8
SH033   158.024    158.024    158.024    158.024    158.024    158.024
SH034   156.08     156.08     156.08     156.08     156.08     156.08
SH035   161.134    161.134    161.134    161.134    161.134    161.134
SH036   180.047    180.047    180.047    180.047    180.047    180.047
SH037   107.92     107.92     107.92     107.92     107.92     107.92
SH038   253.277    253.277    253.277    253.277    253.277    253.277
SH039   140.745    140.745    140.745    140.745    140.745    140.745
SH040   130.693    130.693    130.693    130.693    130.693    130.693
SH041   134.814    134.814    134.814    134.814    134.814    134.814
SH042   210.794    210.794    210.794    210.794    210.794    210.794
SH043   161.259    161.259    161.259    161.259    161.259    161.259
SH044    99.1345    99.1345    99.1345    99.1345    99.1345    99.1345
SH045   193.631    193.631    193.631    193.631    193.631    193.631
SH046   261.407    261.407    261.407    261.407    261.407    261.407
SH047   269.047    269.047    269.047    269.047    269.047    269.047
SH048   151.358    151.358    151.358    151.358    151.358    151.358
SH049   133.847    133.847    133.847    133.847    133.847    133.847
SH050   168.007    168.007    168.007    168.007    168.007    168.007
SH051    85.0484    85.0484    85.0484    85.0484    85.0484    85.0484
SH052   128.666    128.666    128.666    128.666    128.666    128.666
SH053   159.919    159.919    159.919    159.919    159.919    159.919
SH054   121.425    121.425    121.425    121.425    121.425    121.425
SH055   253.14     253.14     253.14     253.14     253.14     253.14
SH056   195.285    195.285    195.285    195.285    195.285    195.285
SH057   149.416    149.416    149.416    149.416    149.416    149.416
SH058   171.246    171.246    171.246    171.246    171.246    171.246
SH059   181.626    181.626    181.626    181.626    181.626    181.626
SH060   189.162    189.162    189.162    189.162    189.162    189.162
SH061   107.175    107.175    107.175    107.175    107.175    107.175
SH062   137.389    137.389    137.389    137.389    137.389    137.389
SH063   176.158    176.158    176.158    176.158    176.158    176.158
SH064   122.266    122.266    122.266    122.266    122.266    122.266
SH065   154.516    154.516    154.516    154.516    154.516    154.516
SH066   193.866    193.866    193.866    193.866    193.866    193.866
SH067   144.876    144.876    144.876    144.876    144.876    144.876
SH068   246.372    246.372    246.372    246.372    246.372    246.372
SH069   224.543    224.543    224.543    224.543    224.543    224.543
SH070   179.147    179.147    179.147    179.147    179.147    179.147
SH071   224.561    224.561    224.561    224.561    224.561    224.561
SH072   186.737    186.737    186.737    186.737    186.737    186.737
SH073   120.354    120.354    120.354    120.354    120.354    120.354
